eventID,parentEventID,habitat,decimalLatitude,decimalLongitude,minimumElevationInMeters,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,country,countryCode,stateProvince,municipality,locality,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision
BogFungi_Plot_001_001,BogFungi_Plot_001,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89106,68.68896,37,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_002_001,BogFungi_Plot_002,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89108,68.68885,37,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_003_001,BogFungi_Plot_003,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89109,68.68879,37,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_004_001,BogFungi_Plot_004,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89108,68.68879,36,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_005_001,BogFungi_Plot_005,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89107,68.68877,37,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_006_001,BogFungi_Plot_006,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89100,68.68870,37,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_007_001,BogFungi_Plot_007,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89111,68.68870,37,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_008_001,BogFungi_Plot_008,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89112,68.68858,36,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_009_001,BogFungi_Plot_009,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89112,68.68858,36,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_011_001,BogFungi_Plot_011,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89113,68.68849,36,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
