basisOfRecord,occurrenceID,eventID,chrono,plot,species,count,organismQuantityType,kingdom
HumanObservation,BogFungi_0001,BogFungi_Plot_001_024,024,001,Cortinarius,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0002,BogFungi_Plot_001_023,023,001,Cortinarius,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0003,BogFungi_Plot_001_009,009,001,Galerina atkinsoniana,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0004,BogFungi_Plot_001_009,009,001,Mycena epipterygia,3,number of fruitbodies,Fungi
HumanObservation,BogFungi_0005,BogFungi_Plot_001_010,010,001,Collybia cirrhata,3,number of fruitbodies,Fungi
HumanObservation,BogFungi_0006,BogFungi_Plot_001_011,011,001,Mycena pura,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0007,BogFungi_Plot_001_012,012,001,Cortinarius semisanguineus/cruentiphyllus,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0008,BogFungi_Plot_001_012,012,001,Galerina allospora/sp/sp2,4,number of fruitbodies,Fungi
HumanObservation,BogFungi_0009,BogFungi_Plot_001_012,012,001,Galerina atkinsoniana,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0010,BogFungi_Plot_001_014,014,001,Cortinarius tenuifulvescens,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0011,BogFungi_Plot_001_015,015,001,Pseudoplectania episphagnum,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0012,BogFungi_Plot_001_017,017,001,Xeromphalina campanelloides/setulipes/sp,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0013,BogFungi_Plot_001_019,019,001,Xeromphalina campanelloides/setulipes/sp,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0014,BogFungi_Plot_001_020,020,001,Xeromphalina campanelloides/setulipes/sp,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0015,BogFungi_Plot_001_022,022,001,Cortinarius lindstroemii,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0016,BogFungi_Plot_001_026,026,001,Cortinarius,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0017,BogFungi_Plot_001_027,027,001,Cortinarius sphagnoravus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0018,BogFungi_Plot_001_039,039,001,Mycena galopus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0019,BogFungi_Plot_001_042,042,001,Cortinarius sphagnoravus,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0020,BogFungi_Plot_001_050,050,001,Galerina paludosa,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0021,BogFungi_Plot_001_051,051,001,Cortinarius sphagnoravus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0022,BogFungi_Plot_001_053,053,001,Lichenomphalia umbellifera,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0023,BogFungi_Plot_001_054,054,001,Galerina allospora/sp/sp2,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0024,BogFungi_Plot_001_062,062,001,Lactarius rufus,3,number of fruitbodies,Fungi
HumanObservation,BogFungi_0025,BogFungi_Plot_001_062,062,001,Russula,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0026,BogFungi_Plot_002_009,009,002,Hebeloma incarnatulum,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0027,BogFungi_Plot_002_010,010,002,Cortinarius sphagnoravus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0028,BogFungi_Plot_002_010,010,002,Gymnopus androsaceus,2,number of fruitbodies,Fungi
HumanObservation,BogFungi_0029,BogFungi_Plot_002_010,010,002,Hebeloma incarnatulum,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0030,BogFungi_Plot_002_011,011,002,Cortinarius armeniacus/kauffmanianus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0031,BogFungi_Plot_002_011,011,002,Cortinarius sphagnoravus,4,number of fruitbodies,Fungi
HumanObservation,BogFungi_0032,BogFungi_Plot_002_011,011,002,Hebeloma incarnatulum,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0033,BogFungi_Plot_002_012,012,002,Cortinarius armeniacus/kauffmanianus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0034,BogFungi_Plot_002_012,012,002,Cortinarius lindstroemii,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0035,BogFungi_Plot_002_012,012,002,Hebeloma incarnatulum,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0036,BogFungi_Plot_002_015,015,002,Auriscalpium vulgare,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0037,BogFungi_Plot_002_015,015,002,Monilinia oxycocci,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0038,BogFungi_Plot_002_019,019,002,Gymnopus androsaceus,3,number of fruitbodies,Fungi
HumanObservation,BogFungi_0039,BogFungi_Plot_002_023,023,002,Hebeloma incarnatulum,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0040,BogFungi_Plot_002_024,024,002,Cortinarius,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0041,BogFungi_Plot_002_024,024,002,Cortinarius semisanguineus/cruentiphyllus,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0042,BogFungi_Plot_002_024,024,002,Hebeloma incarnatulum,1,number of fruitbodies,Fungi
HumanObservation,BogFungi_0043,BogFungi_Plot_002_024,024,002,Xeromphalina campanelloides/setulipes/sp,1,number of fruitbodies,Fungi
