checklist,SH,kingdom,phylum,class,order,family,genus,binom,qualifier,qualifierNumber
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula emetica,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,,,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus junquilleus,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,Leccinum holopus,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus punctipes,,
barcoding macrofungi,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Xeromphalina,,,
barcoding macrofungi,SH0886676.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius brunneotinctus,,
barcoding macrofungi,SH0888207.09FU,Fungi,Ascomycota,Leotiomycetes,Helotiales,Gelatinodiscaceae,Ascocoryne,Ascocoryne turficola,,
barcoding macrofungi,SH0980297.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma elongatum,,
barcoding macrofungi,SH0980316.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,Psilocybe longispora,,
barcoding macrofungi,SH0987739.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius armeniacus,,
barcoding macrofungi,SH1014208.09FU,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,Leccinum schistophilum,,
barcoding macrofungi,SH1029789.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Lichenomphalia,Lichenomphalia umbellifera,,
barcoding macrofungi,SH1056874.09FU,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosomataceae,Pseudoplectania,Pseudoplectania lignicola,,
barcoding macrofungi,SH1117651.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,,,
barcoding macrofungi,SH1125682.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,,,
barcoding macrofungi,SH1126204.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena megaspora,,
barcoding macrofungi,SH1126218.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena galopus,,
barcoding macrofungi,SH1149345.09FU,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Sphagnurus,Sphagnurus paluster,,
