ID,genus_curated,qualifier_curated,qualifier_number,species_curated,binom_curated
0e4de98a69506cfbb884ab533fb1b4fbcae80b6f,Agaricales,sp,,,Agaricales 
37ab898a3263aead5e03cfe812fb519053089d67,Agaricales,sp,,,Agaricales 
b2607ded8f8f2d3ba6dc9eb12c1364bb79d0fb6a,Agaricales,sp,,,Agaricales 
02e627bb4df4e1f524eaf31f52795bbeae91d8d6,Agaricales,sp,2,,Agaricales 
044f0c3798495fa75273334838dd1e09b2740dfb,Agaricales,sp,2,,Agaricales 
177a7362a790de96e4b422c1b57b05be3803741c,Agaricales,sp,2,,Agaricales 
1c7e7af30c11e8ec51e358c96cd6e6b8fde85ed8,Agaricales,sp,2,,Agaricales 
2282b8958fd315a47d513413a9b1efa3b56cec03,Agaricales,sp,2,,Agaricales 
29e85a121c36a5a7692ea68532564b3437d5f4bd,Agaricales,sp,2,,Agaricales 
4d7b1b7849de0e8d45e97056253d844fb4a7bbfe,Agaricales,sp,2,,Agaricales 
613fdecd2e91246e507a949b61bd20c382a40c96,Agaricales,sp,2,,Agaricales 
7cad6ebf670ba8be04ca016a8dec0e16b17767d2,Agaricales,sp,2,,Agaricales 
814a6edeed6552d5a8e9383e3226278cbb1e34c8,Agaricales,sp,2,,Agaricales 
8f453c182c343534142a4bb93db7439cac098bbc,Agaricales,sp,2,,Agaricales 
946f3ddbd300bef7a74aed24817127b0b541a2db,Agaricales,sp,2,,Agaricales 
bbdc8d804f8db66ee9402b92e70b4ce6343e70f7,Agaricales,sp,2,,Agaricales 
f4929d19889a5ef927cb8917b3e21ede507ae570,Agaricales,sp,2,,Agaricales 
2572a97b0ec93b64d8b3059f6d84be0b8b94ab09,Agaricales,sp,5,,Agaricales 
30f719e3da05e2d3114f19db2b2aff029c942ec8,Agaricales,sp,5,,Agaricales 
30f719e3da05e2d3114f19db2b2aff029c942ec8,Agaricales,sp,5,,Agaricales 
30f719e3da05e2d3114f19db2b2aff029c942ec8,Agaricales,sp,5,,Agaricales 
dc5558a691d27ecd0bf70ae14b473d8944140df2,Agaricales,sp,6,,Agaricales 
40591eb74753ba8c0e4d77612433838853168abd,Agaricales,sp,7,,Agaricales 
f1c668d3c4aa37757a4bc7f1b791d14df6336882,Agaricales,sp,7,,Agaricales 
f1c668d3c4aa37757a4bc7f1b791d14df6336882,Agaricales,sp,7,,Agaricales 
bf0afa97a1f23af32a370f7120114644a0675bf4,Agaricales,sp,8,,Agaricales 
c34b79532833a10707e32a6c4cf9116b70d216d9,Agaricus,,,jacobi,Agaricus jacobi
e02ade7b50e1911c22837a464897c6d3257fc078,Agaricus,,,jacobi,Agaricus jacobi
35009af3fb08c8eecb2a93bee2dcf3d7a0e87737,Agaricus,aff,2,xanthodermus,Agaricus xanthodermus
ad36bb7e4eda6dabda1ab6d62bad24f796613e18,Agaricus,aff,,xanthodermus,Agaricus xanthodermus
e897bab884b54391e11ccfd119168a4c3cbdbff2,Agaricus,,,xanthodermus,Agaricus xanthodermus
05cc6dbfdfa146709f781b178de6d5f724dffadc,Agrocybe,,,praecox,Agrocybe praecox
15daf2ac9d1b746f7d5fb9a48557658296f40a1e,Agrocybe,,,praecox,Agrocybe praecox
15daf2ac9d1b746f7d5fb9a48557658296f40a1e,Agrocybe,,,praecox,Agrocybe praecox
15daf2ac9d1b746f7d5fb9a48557658296f40a1e,Agrocybe,,,praecox,Agrocybe praecox
15daf2ac9d1b746f7d5fb9a48557658296f40a1e,Agrocybe,,,praecox,Agrocybe praecox
1b451a4ee4b41567ce81627b71edc0166839975d,Agrocybe,,,praecox,Agrocybe praecox
23fc7089cf2696a0cdab2eae8d70342188d32918,Agrocybe,,,praecox,Agrocybe praecox
2521bc537c6e2301311e4a8b567d72634eace57f,Agrocybe,,,praecox,Agrocybe praecox
3238b08df737915dac7bc064b7971ed0d9051675,Agrocybe,,,praecox,Agrocybe praecox
358386d3ef6525ebbae73e65a3b1df3e9713cfd9,Agrocybe,,,praecox,Agrocybe praecox
399f1032ddf9c0f343710d5bc2876dac67940850,Agrocybe,,,praecox,Agrocybe praecox
57e1c9b62107469bf5afa193dc20735f234bf7ad,Agrocybe,,,praecox,Agrocybe praecox
8d082e072d6702f58dd1dfcae767f88b2ae24beb,Agrocybe,,,praecox,Agrocybe praecox
a4aff2ec4d8ffd8a9b9b6baca5b2831f393bce8a,Agrocybe,,,praecox,Agrocybe praecox
d88f5753bf452d1daca1cb4d381aecfe226a156d,Agrocybe,,,praecox,Agrocybe praecox
ecbc05851a97e6a385c2d24ab87d964a9d38e9d1,Agrocybe,,,praecox,Agrocybe praecox
ecbc05851a97e6a385c2d24ab87d964a9d38e9d1,Agrocybe,,,praecox,Agrocybe praecox
ecbc05851a97e6a385c2d24ab87d964a9d38e9d1,Agrocybe,,,praecox,Agrocybe praecox
ecbc05851a97e6a385c2d24ab87d964a9d38e9d1,Agrocybe,,,praecox,Agrocybe praecox
ecbc05851a97e6a385c2d24ab87d964a9d38e9d1,Agrocybe,,,praecox,Agrocybe praecox
f3426d2b586815d271860d2f4585c922ec30770c,Agrocybe,,,praecox,Agrocybe praecox
f3426d2b586815d271860d2f4585c922ec30770c,Agrocybe,,,praecox,Agrocybe praecox
f3426d2b586815d271860d2f4585c922ec30770c,Agrocybe,,,praecox,Agrocybe praecox
fffaa5536d3b3ab6b1cacda306e195ecc463fb2d,Agrocybe,,,praecox,Agrocybe praecox
fffaa5536d3b3ab6b1cacda306e195ecc463fb2d,Agrocybe,,,praecox,Agrocybe praecox
fffaa5536d3b3ab6b1cacda306e195ecc463fb2d,Agrocybe,,,praecox,Agrocybe praecox
08082b694198cfa80aac5c21ae5cd94f36a20ee7,Alnicola,aff,,amarescens,Alnicola amarescens
0a9f9c9508f7687c378403fb612f1dcbe56aaa1a,Alnicola,aff,,amarescens,Alnicola amarescens
0a9f9c9508f7687c378403fb612f1dcbe56aaa1a,Alnicola,aff,,amarescens,Alnicola amarescens
0a9f9c9508f7687c378403fb612f1dcbe56aaa1a,Alnicola,aff,,amarescens,Alnicola amarescens
0a9f9c9508f7687c378403fb612f1dcbe56aaa1a,Alnicola,aff,,amarescens,Alnicola amarescens
0a9f9c9508f7687c378403fb612f1dcbe56aaa1a,Alnicola,aff,,amarescens,Alnicola amarescens
0b37a41719a1ba4b26c73acd9a1f15497c9ffd97,Alnicola,,,amarescens,Alnicola amarescens
12510208e7834118002a9cc37978a9d1626c0b7b,Alnicola,,,amarescens,Alnicola amarescens
13bea963a25155ea71cb6b33fcc7f3fad6185977,Alnicola,,,amarescens,Alnicola amarescens
1df084ee2867f31c91df266f765a1e80f0b6631d,Alnicola,,,amarescens,Alnicola amarescens
20ac059bb8845be4578f9aa5c6dda641884e5557,Alnicola,aff,,amarescens,Alnicola amarescens
2443c13f2e0d6333865e525d2239a90214b99663,Alnicola,aff,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2bc48ea722aafe3acdc40d12302a9beed9db76ae,Alnicola,,,amarescens,Alnicola amarescens
2fc2bc5c2ef0f926327c1e2e5428a21abc4f9700,Alnicola,,,amarescens,Alnicola amarescens
399bc5df49e3802a8bd47e766ccf6b15c11b9221,Alnicola,,,amarescens,Alnicola amarescens
3dff532f1ad92aea3122b2fe5d6bf5df269d62ca,Alnicola,,,amarescens,Alnicola amarescens
4160f221ef2f020cd36759b4a282e1c212be79c6,Alnicola,aff,,amarescens,Alnicola amarescens
4e0887f4cc739ee72e3d01f8fff730921a5f0ed3,Alnicola,aff,,amarescens,Alnicola amarescens
5522a9637a19203e1a7772220a2b09020893d095,Alnicola,aff,,amarescens,Alnicola amarescens
5f7aac4a23942ea718773208729f3ad07136198d,Alnicola,aff,,amarescens,Alnicola amarescens
7577b90964e8728a9020741f00e5a0ba598f7dae,Alnicola,aff,,amarescens,Alnicola amarescens
82079d6a61f8131cae0640e570f453a64d7dc5f0,Alnicola,aff,,amarescens,Alnicola amarescens
98fddf692896ec69dc35eced5242a1e8f7f0047c,Alnicola,,,amarescens,Alnicola amarescens
9c2d5187ecf86a343e070eb682cc03bf859e4c98,Alnicola,,,amarescens,Alnicola amarescens
9c2d5187ecf86a343e070eb682cc03bf859e4c98,Alnicola,,,amarescens,Alnicola amarescens
9c2d5187ecf86a343e070eb682cc03bf859e4c98,Alnicola,,,amarescens,Alnicola amarescens
a83d4dfcfdf8f2de9c4c7310b4c3bf27d063b3e5,Alnicola,,,amarescens,Alnicola amarescens
a86aa38b8f1da414da851866ab8e59aad17331e6,Alnicola,,,amarescens,Alnicola amarescens
afa27f00055e9666fb8289972975137bc49e99fc,Alnicola,aff,,amarescens,Alnicola amarescens
bbb318a955505313a28b5ed693e3df749ba91d86,Alnicola,aff,,amarescens,Alnicola amarescens
bbb318a955505313a28b5ed693e3df749ba91d86,Alnicola,aff,,amarescens,Alnicola amarescens
e170db77fbbb21c9d1a603f00907c8d2b7401dcf,Alnicola,aff,,amarescens,Alnicola amarescens
e6b0fb157ac903308848ac5d0bfe9ef0dda0f3e2,Alnicola,,,amarescens,Alnicola amarescens
efcfeeb21f954ad8e1d241c7e1e4ebe48a6130a8,Alnicola,aff,,amarescens,Alnicola amarescens
efcfeeb21f954ad8e1d241c7e1e4ebe48a6130a8,Alnicola,aff,,amarescens,Alnicola amarescens
efcfeeb21f954ad8e1d241c7e1e4ebe48a6130a8,Alnicola,aff,,amarescens,Alnicola amarescens
f6d782cbd1e623daa5b23f4aabc53e586fc6ce6d,Alnicola,aff,,amarescens,Alnicola amarescens
fa1d0e66ff2e748163d39eb26e7c741598da9348,Alnicola,,,amarescens,Alnicola amarescens
fa1d0e66ff2e748163d39eb26e7c741598da9348,Alnicola,,,amarescens,Alnicola amarescens
fa1d0e66ff2e748163d39eb26e7c741598da9348,Alnicola,,,amarescens,Alnicola amarescens
fba9569c2d4a5a67ba7c59e0be22c257c5323148,Alnicola,aff,,amarescens,Alnicola amarescens
310a4e36976f100f7b6dc29e545dfbde5955a332,Alnicola,cf,,silvaenovae,Alnicola silvaenovae
36b8f3dd129ee7dd34a024c18700e4d2f81e9600,Alnicola,,,spectabilis,Alnicola spectabilis
5506b6a4955f0bcb8b382cf4004d8967e44ea664,Alnicola,cf,,sphagneti,Alnicola sphagneti
033207203726e1d52aab5cc8525dcbf915780819,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
0507e6f77304117e08bfb29870140b0fc8570b86,Alnicola,,,tantilla,Alnicola tantilla
07d3f2538e1db7e92ea362d55df3308b603e091f,Alnicola,,,tantilla,Alnicola tantilla
086653c8f4736cc6b6a0ffbad6034d7e235ad313,Alnicola,,,tantilla,Alnicola tantilla
08819cea93fb13630d4e5a1c8001fdbe848a390c,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
088df8028e7b0dc684f4cadcff4464f67dd122f3,Alnicola,,,tantilla,Alnicola tantilla
