ID,kingdom,phylum,class,order,family,genus,binom,qualifier,qualifierNumber
180eb7e1d622fc0d0df57adbf5c4160fc8850902,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma psammopus,aff,1.0
35009af3fb08c8eecb2a93bee2dcf3d7a0e87737,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus xanthodermus,aff,2.0
e1766bb78c0925ab2485cb918d7a37d797afb31a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus xanthodermus,aff,2.0
e33e947260be6c6f5916016eb66488c05050f966,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius athabascus,aff,2.0
9b020cf8b5aec82a9f30209e065a25f1bc722e58,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius casimirii,aff,2.0
fc6d2db5304edeb55b63f3a3e78024b8b2905ffc,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius casimirii,aff,2.0
834dcb02fa318c32acfb5e2fea8bb5718cfaf127,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius casimirii,aff,2.0
a0b58738002b64f14cf593c66047bac82f047e74,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius casimirii,aff,2.0
31700f0b525a5fe9b90e1ae00f571ae2ead09d1e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius distortus,aff,2.0
f19a6b996fc99c8b8bb1c4971e371ffe5b6f418e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
3230941757e5ee9c1696a3ed9a5f72b0b7896b9a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
3962776f584ded8b2d12a143b28dbde1e36e79db,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
4813a768e57c1b74f42f983bff5e19f65015a9c3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
63dd9ffa46b523c1b1b613fe7b5c1678104b287d,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
a9b33362dc62bf15f59816bc61ce04c77fcf9dbc,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
d5534d243c2180a9d388539787aa6140d365b764,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
de6a6faafe5e5e0242b433eafc0ac1a739ded2ea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fagetorum,aff,2.0
c0dd5dbd2b4564b99f4ad209ceb4c8dac03799b6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
8b83ce9c5158d3960eb16875a7d595b7e930ea6b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
12bada03bf5de1651ed05fe80f3cb740fd774418,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
afcb2f48d7ff0d88bdacdc6762c33a4f65f9bca5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
2d3c53a2cdb904d27ccbb74a093bc7edda53b138,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
2e582ad8bf1fa23bee06c0c72e0040223116d1aa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
4fe5a15c2cf866caf58a798d470375c59246ccbc,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
55a3f48d16943b8c38d678b2e42d2e5c85f439f3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
a56f077efa9e9cf883343cef880b4f820e70dabe,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
e4bfc965d977893b138e3835b5b4e7fc5845e7c8,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
f10cb55e5844f6aeead71f305105d214cb7c6282,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
89fa258da0e1454ba1bf1653e3231eb5c998c50e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
543b0fa9d2ababca9637858cec07cddbe7a6edb9,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
86a00d36d71dfd8f3dbfc960532cf09fa0872019,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
1cefea89a155232ba406e3c824a96c3ad06a9cfe,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius fuscodiscus,aff,2.0
2b37dc2b767cb16215026c3583c2bfaeb325ee0c,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius gentilis,aff,2.0
2da22efb006e2efe12af1f2657762c1f42d910be,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius laetus,aff,2.0
e389140f6b379d54cee705cc5f22b4dccfde9923,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius pallidostriatus,aff,2.0
e8a01b864d2740c02108a356c5f3c74b4706ce98,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius pallidostriatus,aff,2.0
3889ec2b6bce7ae838b310d682bf4189edf74a83,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
9f01a174999e64978c668909d01ac382a27830b9,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
258a008615aa51f75491b88bbe61a6b9d274ce49,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
320cdf8a78313163ae7b0e579c304bb2b721100f,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
ba941e3b8c178aba0cdddd846c8611b285f8eed1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
1aecc2aa78d4c162ab4ca84872ebde1a98e53e39,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
91dde676f536cbfe73212dee43cc11bab5a2bc02,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
87cebea26759f90b649ba3391a520f067cdd79d4,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
f91639feb9bd6ca936396f5a566463bd60328909,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
26bbf9d80e1e174c8796c9abc52c9ebd351ea24b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
8f8e1745974a2f10bc0aab1cc78ca86b6216e6a6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
48ec24cdde2c5c058cad8e85c3b58d4941ff97db,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius parvannulatus,aff,2.0
dfff3e41fe8ae49fb724da1795024f3ee7fec2a4,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius poirieri,aff,2.0
1f2f8190ee07805bd4817ebc5a48ebe503f34f71,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius suberi,aff,2.0
3a959492defa23204bef8cbb8aaa60a9be023702,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
54b83598e9f6615c267ea7706268433c210504c2,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
4b908d006240c335432ce7826b295c6ac909f6e0,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
8b1dfed9a11588f4b8419ca168e11fb65a18b9ce,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
c907dbec7a634caa20535cb0551dece8eff7a6cf,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
05f1b4560b82f6c6568724542265adf92f315d21,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
1508f259d986b79d00106104a3b9cdf9eeeb392a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
f84e9b545de881ad9d9343d37b4e828fe7589f47,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
381148259a3529ccd7e904fea2a17c7cd3f862e6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
6e3f9f697187e044d6f41434074faa911d6cd82a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
e91e1d92573b7629b1de50ddee686c7a0a543d07,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
a2e062ca3f1ccf5195de9dc733c01605d61ecd37,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
dc9041f38e09fa6dc1806ccfce5bc1c9139a93a6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
dc571221100e1f0f23e8e1ae0edc8efc8b9cd649,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
07ab11fe1b162f7461d66c4c332765442b48a5bb,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius tabularis,aff,2.0
