SampleID	SampleName	ID запусков	Number of reads	eventDate	month	day	Year	series	season	substrate	project	conservation	samplingApproach	extractionReplica	depth	depthModified	ecosystem	habitat	spill	locality	plotNumber	plantHost	Number of reads < 1500 (exclude from analysis)
151	151	Евроген-151	954	31.05.2022	5	31	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Rubus chamaemorus	1
152	152	Евроген-152	1027	31.05.2022	5	31	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Chamaedaphne calyculata	1
153	153	Евроген-153	671	31.05.2022	5	31	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Ledum palustre	1
154	154	Евроген-154	682	31.05.2022	5	31	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Andromeda polifolia	1
155	155	Евроген-155	63293	31.05.2022	5	31	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Eriophorum vaginatum	
156	156	Евроген-156	74204	31.05.2022	5	31	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Scheuchzeria palustris	
157	157	Евроген-157	62976	01.07.2022	7	1	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Rubus chamaemorus	
158	158	Евроген-158	791	01.07.2022	7	1	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Ledum palustre	1
159	159	Евроген-159	786	01.07.2022	7	1	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Andromeda polifolia	1
160	160	Евроген-160	72025	01.07.2022	7	1	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Scheuchzeria palustris	
161	161	Евроген-161	64560	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Rubus chamaemorus	
162	162	Евроген-162	91010	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Chamaedaphne calyculata	
163	163	Евроген-163	107679	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 1	Ledum palustre	
164	164	Евроген-164	115556	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Andromeda polifolia	
165	165	Евроген-165	94904	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Eriophorum vaginatum	
166	166	Евроген-166	92177	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 1	Scheuchzeria palustris	
167	167	Евроген-167	119758	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 2	Rubus chamaemorus	
168	168	Евроген-168	88523	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 2	Chamaedaphne calyculata	
169	169	Евроген-169	125095	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 2	Ledum palustre	
170	170	Евроген-170	135743	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 2	Andromeda polifolia	
171	171	Евроген-171	141410	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 2	Eriophorum vaginatum	
172	172	Евроген-172	145407	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 2	Scheuchzeria palustris	
173	173	Евроген-173	103797	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 3	Rubus chamaemorus	
174	174	Евроген-174	109513	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 3	Chamaedaphne calyculata	
175	175	Евроген-175	122515	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Treed bog		Mukhrino	Hu 3	Ledum palustre	
176	176	Евроген-176	117502	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 3	Andromeda polifolia	
177	177	Евроген-177	90932	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 3	Eriophorum vaginatum	
178	178	Евроген-178	87956	13.09.2022	9	13	2022	1		litter		Freezing, drying	Composite 5 g		na		peatland	Sphagnum lawn		Mukhrino	Ho 3	Scheuchzeria palustris	
764	174	Синтол_25_174			6		2024	1		litter	bog plant fungi						peatland			Mukhrino	Andromeda polifolia-june	Andromeda polifolia	
765	175	Синтол_25_175			7		2024	1		litter	bog plant fungi						peatland			Mukhrino	Andromeda polifolia-july	Andromeda polifolia	
766	176	Синтол_25_176			8		2024	1		litter	bog plant fungi						peatland			Mukhrino	Andromeda polifolia-august	Andromeda polifolia	
767	177	Синтол_25_177			6		2024	1		litter	bog plant fungi						peatland			Mukhrino	Ledum palustre-june	Ledum palustre	
